"","microregion_name","Min","Q1","Q2","Q3","Max","Mean","DP","Sum_cases","Mean_pop","Rate","annual_cases_mean"
"1","Aimorés",0,0,0,3,63,3.23,6.96,11803,152580,7735.61,1180
"2","Alfenas",0,0,0,1,98,2.78,9.15,10143,235479,4307.39,1014
"3","Almenara",0,0,0,1,64,0.97,3.52,3551,185494,1914.35,355
"4","Andrelândia",0,0,0,0,7,0.06,0.39,234,73336,319.08,23
"5","Araçuaí",0,0,0,1,98,2.16,6.83,7879,160943,4895.52,788
"6","Araxá",0,0,1,3,86,4.1,9.52,14979,219192,6833.73,1498
"7","Barbacena",0,0,0,0,124,1.18,6.47,4301,223836,1921.5,430
"8","Belo Horizonte",0,4,11,54,5691,244.1,710.24,891462,5044354,17672.47,89146
"9","Bocaiúva",0,0,0,1,135,2.99,10.1,10933,71833,15220.02,1093
"10","Bom Despacho",0,0,1,4,212,6.88,18.4,25120,174138,14425.34,2512
"11","Campo Belo",0,0,0,0,93,2.27,8.26,8273,116055,7128.52,827
"12","Capelinha",0,0,0,1,117,2.35,8.19,8582,204770,4191.04,858
"13","Caratinga",0,0,0,1,102,2.3,8.9,8397,262736,3195.98,840
"14","Cataguases",0,0,0,1,160,5.3,16.75,19357,223886,8645.92,1936
"15","Conceição do Mato Dentro",0,0,0,0,31,0.52,2,1889,83040,2274.81,189
"16","Conselheiro Lafaiete",0,0,0,0,63,1.25,4.96,4571,261489,1748.07,457
"17","Curvelo",0,0,1,4,239,7.59,21.36,27729,155991,17776.03,2773
"18","Diamantina",0,0,0,0,87,1.15,4.8,4208,84548,4977.05,421
"19","Divinópolis",0,0,1,7,435,17.22,43.38,62892,525211,11974.62,6289
"20","Formiga",0,0,0,2,141,5.74,15.77,20961,157558,13303.67,2096
"21","Frutal",0,0,1,4,183,5.62,13.28,20521,191894,10693.92,2052
"22","Governador Valadares",0,0,2,8,143,7.91,15.29,28902,430050,6720.61,2890
"23","Grão Mogol",0,0,0,0,22,0.45,1.77,1658,44170,3753.68,166
"24","Guanhães",0,0,0,0,29,0.61,2.13,2231,134379,1660.23,223
"25","Ipatinga",0,1,4,12,846,19.23,60.68,70244,555433,12646.71,7024
"26","Itabira",0,0,0,2,254,5.79,17.77,21157,395688,5346.89,2116
"27","Itaguara",0,0,0,0,49,1.23,4.33,4500,63736,7060.37,450
"28","Itajubá",0,0,0,0,73,0.69,4.67,2523,193683,1302.64,252
"29","Ituiutaba",0,0,1,5,92,5.21,10.15,19015,149676,12704.11,1902
"30","Janaúba",0,0,0,3,167,4.82,12.72,17588,255399,6886.48,1759
"31","Januária",0,0,1,3,148,4.23,10.83,15454,285299,5416.77,1545
"32","Juiz de Fora",0,0,1,5,913,21.11,69.02,77098,765100,10076.85,7710
"33","Lavras",0,0,0,1,196,3.22,13.47,11747,157806,7443.95,1175
"34","Manhuaçu",0,0,0,1,97,3.04,10.68,11097,287269,3862.93,1110
"35","Mantena",0,0,0,1,55,1.02,3.2,3743,64854,5771.43,374
"36","Montes Claros",0,0,1,6,498,12.91,34.95,47150,635459,7419.83,4715
"37","Muriaé",0,0,0,2,159,4.73,13.59,17257,286260,6028.44,1726
"38","Nanuque",0,0,0,1,53,1.95,5.63,7130,120577,5913.23,713
"39","Oliveira",0,0,0,0,42,1.1,3.62,4026,130650,3081.52,403
"40","Ouro Preto",0,0,0,0,46,0.76,2.78,2782,183791,1513.68,278
"41","Pará de Minas",0,0,0,1,151,3.85,13.46,14056,131500,10688.97,1406
"42","Paracatu",0,0,0,4,146,7.73,18.5,28243,229068,12329.53,2824
"43","Passos",0,0,0,3,129,5.03,11.78,18353,236387,7763.96,1835
"44","Patos de Minas",0,0,1,4,204,6.76,18.66,24675,265420,9296.59,2468
"45","Patrocínio",0,0,0,2,138,3.82,11.48,13967,206306,6770.04,1397
"46","Peçanha",0,0,0,0,30,0.61,2.12,2228,82001,2717.04,223
"47","Pedra Azul",0,0,0,0,91,1.18,4.75,4309,83898,5136,431
"48","Pirapora",0,0,0,1,167,4.52,13.56,16524,171568,9631.17,1652
"49","Piuí",0,0,0,1,52,1.44,4.43,5246,84724,6191.87,525
"50","Poços de Caldas",0,0,0,0,60,0.58,2.93,2104,359702,584.93,210
"51","Ponte Nova",0,0,0,1,90,2.79,8.09,10176,189490,5370.2,1018
"52","Pouso Alegre",0,0,0,0,35,0.37,1.99,1354,346805,390.42,135
"53","Salinas",0,0,0,0,60,1.35,4.25,4946,218594,2262.64,495
"54","Santa Rita do Sapucaí",0,0,0,0,36,0.62,2.71,2253,144263,1561.73,225
"55","São João Del Rei",0,0,0,0,62,1.41,4.97,5136,190195,2700.39,514
"56","São Lourenço",0,0,0,0,65,0.92,4.27,3378,213925,1579.06,338
"57","São Sebastião do Paraíso",0,0,0,1,79,3,7.94,10956,275155,3981.76,1096
"58","Sete Lagoas",0,0,1,4,742,19.43,65.67,70962,418140,16970.87,7096
"59","Teófilo Otoni",0,0,1,4,360,6.75,21.61,24635,273630,9003.03,2464
"60","Três Marias",0,0,0,2,107,3.78,10.14,13804,101569,13590.76,1380
"61","Ubá",0,0,1,5,471,9.69,30.78,35396,284647,12435.05,3540
"62","Uberaba",0,0,1,7,313,8.82,25.37,32196,372247,8649.1,3220
"63","Uberlândia",0,1,4,15,604,25.02,62.64,91373,877730,10410.15,9137
"64","Unaí",0,0,1,3,162,5.99,16.04,21858,155549,14052.16,2186
"65","Varginha",0,0,0,3,137,5.21,14.04,19035,461461,4124.94,1904
"66","Viçosa",0,0,0,0,149,1.76,8.28,6436,227918,2823.82,644
